id;valid_from;valid_to;start_on;end_on;created_at;updated_at
1;2020-03-06T04:00:58;2020-03-06T08:56:39;2020-03-06T13:18:03;2020-03-06T06:33:34;2020-03-06T17:39:25;2020-03-06T21:36:44
2;2020-03-06T09:36:15;2020-03-06T03:57:00;2020-03-06T11:36:42;2020-03-06T17:18:12;2020-03-06T04:22:57;2020-03-06T05:07:45
3;2020-03-06T06:27:32;2020-03-06T11:22:38;2020-03-06T06:42:29;2020-03-06T03:44:18;2020-03-06T07:13:07;2020-03-06T23:27:11
4;2020-03-06T20:36:07;2020-03-06T03:41:39;2020-03-06T11:10:49;2020-03-06T21:43:03;2020-03-06T08:18:21;2020-03-06T10:33:49
5;2020-03-06T07:00:41;2020-03-06T05:40:12;2020-03-06T06:19:34;2020-03-06T14:56:31;2020-03-06T22:59:30;2020-03-06T06:33:05
6;2020-03-06T19:23:02;2020-03-06T01:30:29;2020-03-06T12:50:56;2020-03-06T04:02:38;2020-03-06T19:35:23;2020-03-06T05:21:20
7;2020-03-07T00:00:46;2020-03-06T08:03:18;2020-03-06T06:06:35;2020-03-06T20:58:22;2020-03-06T11:08:11;2020-03-06T19:22:29
8;2020-03-06T23:06:27;2020-03-06T17:28:29;2020-03-06T21:25:24;2020-03-06T21:40:28;2020-03-06T08:52:50;2020-03-06T02:34:00
9;2020-03-06T21:19:24;2020-03-06T21:17:14;2020-03-06T04:53:58;2020-03-06T08:48:02;2020-03-06T17:55:40;2020-03-06T11:04:00
10;2020-03-06T19:36:48;2020-03-06T22:18:01;2020-03-06T14:25:44;2020-03-06T17:14:30;2020-03-06T12:47:47;2020-03-06T10:57:38
